ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
VNO,2841,2840,0.9996480112636396,2011-09-21,2026-09-21,2011-09-21,2023-01-03,복원
VNT,110,110,1.0,2020-09-24,2026-09-21,2020-10-12,2021-03-19,복원
WBA,3509,0,0.0,,,2011-09-21,2025-08-27,가격 없음
WCG,342,0,0.0,,,2018-09-17,2020-01-27,가격 없음
WFM,1494,0,0.0,,,2011-09-21,2017-08-25,가격 없음
WHR,3143,3141,0.9993636652879414,2011-09-21,2026-09-21,2011-09-21,2024-03-15,복원
WIN,889,0,0.0,,,2011-09-21,2015-04-06,가격 없음
WLTW,1516,0,0.0,,,2016-01-05,2022-01-07,가격 없음
WPX,557,0,0.0,,,2012-01-03,2014-03-21,가격 없음
WRK,2269,0,0.0,,,2015-07-02,2024-07-05,가격 없음
WU,2580,2579,0.9996124031007751,2011-09-21,2026-09-21,2011-09-21,2021-12-17,복원
WYND,1684,0,0.0,,,2011-09-21,2018-05-30,가격 없음
X,698,0,0.0,,,2011-09-21,2014-07-01,가격 없음
XEC,1435,0,0.0,,,2014-06-20,2020-03-02,가격 없음
XL,1756,0,0.0,,,2011-09-21,2018-09-11,가격 없음
XLNX,2619,0,0.0,,,2011-09-21,2022-02-14,가격 없음
XRAY,3153,3151,0.9993656834760546,2011-09-21,2026-09-21,2011-09-21,2024-04-01,복원
XRX,2390,2389,0.999581589958159,2011-09-21,2026-09-21,2011-09-21,2021-03-19,복원
ZION,3143,3141,0.9993636652879414,2011-09-21,2026-09-21,2011-09-21,2024-03-15,복원
