auc,t,p,p_one,T
0.5095023326970461,1.4612212977397796,0.15349,0.07593000000000005,2655
0.5018400399796625,0.3220799691317153,0.75168,0.37644999999999995,2655
0.5094127426336444,1.2356561084366442,0.22513,0.11116999999999999,2655
0.4980779312980685,-0.3369459332126728,0.74028,0.63034,2655
0.500571005998635,0.0862814264390861,0.93222,0.46565999999999996,2655
0.5141329225380425,1.667823583249543,0.10409,0.051120000000000054,2656
0.5043063433129632,0.6384832955964048,0.53077,0.26481,2655
0.504346844433746,0.6694814950427557,0.51084,0.25521000000000005,2655
0.5063363198160551,0.7944529112484577,0.43709,0.21787999999999996,2655
0.5088437500052164,1.2414242745832238,0.22283,0.10997000000000001,2655
0.501028144312137,0.20381008829821817,0.84088,0.42029000000000005,2655
0.5141265442774724,2.395614917400573,0.0209,0.01051000000000002,2655
0.5147819534140621,1.944677291779368,0.05777,0.02839999999999998,2655
0.5091923039708499,1.5130293121441254,0.13962,0.06910000000000005,2655
0.5127138108696735,1.9418327473102661,0.05809,0.02856000000000003,2656
0.5016334089191232,0.3049066740709636,0.76448,0.38277000000000005,2655
0.5067807646301656,0.8992195664422405,0.37856,0.18864000000000003,2655
0.49919835802626467,-0.11496370691729117,0.91005,0.5442100000000001,2655
0.512508332189734,1.592411224365914,0.12007,0.05918000000000001,2655
0.5041457503277519,0.6989869709632066,0.49253,0.24604000000000004,2655
0.5017967211994654,0.34855714519169856,0.73148,0.36611000000000005,2655
0.5209941331376197,2.6928484277397957,0.00962,0.0046599999999999975,2655
0.49484526371753973,-0.8583927639639881,0.40139,0.79866,2655
0.5111056327639915,1.325685416226789,0.19376,0.09572999999999998,2655
0.513217185979027,1.712700433402486,0.09487,0.04661000000000004,2655
0.5031251683860586,0.3929978151680978,0.69977,0.34996000000000005,2656
0.5031882498656101,0.5031285216958878,0.62139,0.31006999999999996,2655
0.50272036993446,0.3713579658907021,0.71465,0.35772000000000004,2655
0.5128177845108788,1.6059723699000767,0.11736,0.057740000000000014,2656
0.5026193251992013,0.45662306485185356,0.65335,0.32619,2656
0.5076668353468192,1.2225217571146079,0.2298,0.11353999999999997,2655
0.49393661160568897,-1.1212570319354915,0.27144,0.86294,2655
0.5128153576474275,1.6259099782610416,0.11262,0.05542999999999998,2656
0.5058451509456989,0.6724030290134408,0.50892,0.25417999999999996,2655
0.502674092863762,0.4468465375253165,0.66004,0.3297,2655
0.5093222474174856,1.2958991318624744,0.20374,0.10085999999999995,2655
0.5154365906494925,1.6619469327779584,0.1051,0.051690000000000014,2655
0.5090559591068066,1.2704770924218034,0.21252,0.10516999999999999,2655
0.5251194222269161,2.980421144680262,0.00422,0.0020599999999999508,2655
0.5050490528289157,0.9069546569814234,0.37464,0.18655999999999995,2655
0.501408236754941,0.2677314932771399,0.79215,0.39652,2655
0.49874405188959714,-0.2162371563035596,0.83104,0.58468,2656
0.5032483238744336,0.3941265789074264,0.69882,0.34950000000000003,2655
0.5050064365117067,0.7773261154049261,0.44642,0.22263,2655
0.5099272002380756,1.405895009964984,0.1689,0.08342000000000005,2655
0.5243235379073021,2.954680707112421,0.00459,0.0022699999999999942,2655
0.4947475496346051,-0.8914395285179175,0.38259,0.80823,2656
0.5039328668575975,0.5063275051576192,0.61922,0.30896999999999997,2656
0.503034711156635,0.5591325845045115,0.58302,0.29105000000000003,2655
0.4917640477166986,-1.3311388610900954,0.19196,0.90286,2655
0.5003848053345632,0.04924386168967846,0.95989,0.47927,2655
0.5047546603199723,0.7291432477218827,0.47469,0.23692999999999997,2655
0.5112868213826648,1.83847921615536,0.07283,0.03586999999999996,2655
0.5121997820322749,2.0092701679847838,0.05022,0.024639999999999995,2656
0.5049941112711263,0.6458767139882426,0.52646,0.26271,2655
0.5123594005799749,1.8807444905660458,0.06656,0.03263000000000005,2655
0.5166654474691891,2.293878618562304,0.02641,0.013299999999999979,2655
0.5084689076918256,1.025772975314753,0.31465,0.15595000000000003,2655
0.49232263197381,-1.3067607342539094,0.20031,0.89889,2655
0.514395608337497,2.507806938436479,0.01579,0.007850000000000024,2655
0.4995191284233409,-0.06867386022179073,0.94559,0.52659,2655
